,game_id,Stint_id,start_period,end_period,start_time,end_time,start_seconds,end_seconds,duration_s,start_eventnum,end_eventnum,start_score,end_score,start_margin,end_margin,plusminus,player1_id,player2_id,player3_id,player4_id,player5_id,lineup_long,lineup_id_ingame,player6_id,player7_id,player8_id,player9_id,player10_id,OPP_lineup_long,OPP_lineup_id_ingame,pts_for,pts_against,possessions
0,0022300065,1,1,1,12:00,6:57,2880,2577,303,2,72,0 - 0,9 - 4,0,5,5,204001,1627759,201950,1628369,1628401,204001-1627759-201950-1628369-1628401,,1629011,203944,1628973,1629628,1629656,1629011-203944-1628973-1629628-1629656,,9,4,24
1,0022300065,2,1,1,6:57,6:06,2577,2526,51,72,84,9 - 4,11 - 8,5,3,-2,204001,1627759,201950,1628369,201143,204001-1627759-201950-1628369-201143,,1629011,203944,1628973,1629628,1629656,1629011-203944-1628973-1629628-1629656,,2,4,4
2,0022300065,3,1,1,6:06,4:57,2526,2457,69,84,96,11 - 8,16 - 11,3,5,2,204001,1627759,201950,1628369,201143,204001-1627759-201950-1628369-201143,,1629011,203944,1628973,1628404,1629656,1629011-203944-1628973-1628404-1629656,,5,3,5
3,0022300065,4,1,1,4:57,3:19,2457,2359,98,96,114,16 - 11,20 - 13,5,7,2,204001,1630573,201950,1628369,201143,204001-1630573-201950-1628369-201143,,1629011,203944,1628973,1628404,1630193,1629011-203944-1628973-1628404-1630193,,4,2,5
4,0022300065,5,1,1,3:19,2:30,2359,2310,49,114,134,20 - 13,24 - 13,7,11,4,204001,1630573,1630202,1628369,201143,204001-1630573-1630202-1628369-201143,,1628978,1629628,1628392,1628404,1630193,1628978-1629628-1628392-1628404-1630193,,4,0,5
5,0022300065,6,1,1,2:30,0:34,2310,2194,116,134,152,24 - 13,30 - 18,11,12,1,204001,1630573,1630202,1627759,201143,204001-1630573-1630202-1627759-201143,,1628978,1629628,1628392,1628404,1630193,1628978-1629628-1628392-1628404-1630193,,6,5,7
6,0022300065,7,1,2,0:34,12:00,2194,2160,34,152,165,30 - 18,30 - 18,12,12,0,201950,1630573,1630202,1627759,201143,201950-1630573-1630202-1627759-201143,,1628978,1629628,1628392,1628404,1630193,1628978-1629628-1628392-1628404-1630193,,0,0,2
7,0022300065,8,2,2,12:00,9:29,2160,2009,151,165,189,30 - 18,35 - 26,12,9,-3,1628401,1627759,201143,1628436,1630202,1628401-1627759-201143-1628436-1630202,,1630193,1629628,1628392,1628404,1628978,1630193-1629628-1628392-1628404-1628978,,5,8,10
8,0022300065,9,2,2,9:29,8:49,2009,1969,40,189,201,35 - 26,35 - 26,9,9,0,1628401,1628369,1630573,1628436,1630202,1628401-1628369-1630573-1628436-1630202,,1630193,1629628,1628392,1628404,1628978,1630193-1629628-1628392-1628404-1628978,,0,0,3
9,0022300065,10,2,2,8:49,7:44,1969,1904,65,201,219,35 - 26,37 - 28,9,9,0,1628401,1628369,1630573,1628436,201950,1628401-1628369-1630573-1628436-201950,,1630193,1629628,1628392,1628404,1628978,1630193-1629628-1628392-1628404-1628978,,2,2,5
10,0022300065,11,2,2,7:44,7:22,1904,1882,22,219,229,37 - 28,37 - 28,9,9,0,1628401,1628369,204001,1628436,201950,1628401-1628369-204001-1628436-201950,,1630193,1629628,1629011,1628404,1628978,1630193-1629628-1629011-1628404-1628978,,0,0,2
11,0022300065,12,2,2,7:22,6:40,1882,1840,42,229,240,37 - 28,40 - 31,9,9,0,1628401,1628369,204001,1628436,201950,1628401-1628369-204001-1628436-201950,,1630193,1629628,1629011,1628973,203944,1630193-1629628-1629011-1628973-203944,,3,3,2
12,0022300065,13,2,2,6:40,5:02,1840,1742,98,240,254,40 - 31,42 - 36,9,6,-3,1628401,1628369,204001,1627759,201950,1628401-1628369-204001-1627759-201950,,1630193,1629628,1629011,1628973,203944,1630193-1629628-1629011-1628973-203944,,2,5,5
13,0022300065,14,2,2,5:02,4:37,1742,1717,25,254,264,42 - 36,42 - 36,6,6,0,1628401,1628369,204001,1627759,201950,1628401-1628369-204001-1627759-201950,,1629656,1629628,1629011,1628973,203944,1629656-1629628-1629011-1628973-203944,,0,0,2
14,0022300065,15,2,2,4:37,0:57,1717,1497,220,264,308,42 - 36,49 - 42,6,7,1,201143,1628369,204001,1627759,201950,201143-1628369-204001-1627759-201950,,1629656,1629628,1629011,1628973,203944,1629656-1629628-1629011-1628973-203944,,7,6,17
15,0022300065,16,2,3,0:57,12:00,1497,1440,57,308,331,49 - 42,51 - 46,7,5,-2,201143,1628369,204001,1627759,201950,201143-1628369-204001-1627759-201950,,1629656,1628392,1628404,1628973,203944,1629656-1628392-1628404-1628973-203944,,2,4,4
16,0022300065,17,3,3,12:00,11:24,1440,1404,36,331,337,51 - 46,53 - 46,5,7,2,1628369,1628401,204001,201950,1627759,1628369-1628401-204001-201950-1627759,,203944,1629011,1628973,1629628,1629656,203944-1629011-1628973-1629628-1629656,,2,0,2
17,0022300065,18,3,3,11:24,6:56,1404,1136,268,337,396,53 - 46,64 - 53,7,11,4,1628369,1628401,204001,201950,1627759,1628369-1628401-204001-201950-1627759,,203944,1628392,1628973,1629628,1629656,203944-1628392-1628973-1629628-1629656,,11,7,21
18,0022300065,19,3,3,6:56,4:32,1136,992,144,396,432,64 - 53,66 - 66,11,0,-11,1628369,1628401,201143,201950,1627759,1628369-1628401-201143-201950-1627759,,203944,1628392,1628973,1629628,1629656,203944-1628392-1628973-1629628-1629656,,2,13,11
19,0022300065,20,3,3,4:32,4:05,992,965,27,432,447,66 - 66,67 - 66,0,1,1,204001,1628401,201143,1630573,1627759,204001-1628401-201143-1630573-1627759,,203944,1628392,1628973,1628404,1629656,203944-1628392-1628973-1628404-1629656,,1,0,3
20,0022300065,21,3,3,4:05,2:52,965,892,73,447,464,67 - 66,73 - 67,1,6,5,204001,1628401,201143,1630573,1627759,204001-1628401-201143-1630573-1627759,,203944,1628392,1628973,1628404,1630193,203944-1628392-1628973-1628404-1630193,,6,1,5
21,0022300065,22,3,3,2:52,1:26,892,806,86,464,486,73 - 67,78 - 68,6,10,4,1628436,1628401,201143,1630573,1627759,1628436-1628401-201143-1630573-1627759,,203944,1628392,1628978,1628404,1630193,203944-1628392-1628978-1628404-1630193,,5,1,8
22,0022300065,23,3,3,1:26,0:12,806,732,74,486,502,78 - 68,80 - 72,10,8,-2,1628436,1630202,201143,1630573,1627759,1628436-1630202-201143-1630573-1627759,,1629628,1629011,1628978,1628404,1630193,1629628-1629011-1628978-1628404-1630193,,2,4,5
23,0022300065,24,3,3,0:12,0:12,732,732,0,502,505,80 - 72,80 - 72,8,8,0,204001,1630202,201143,1630573,1627759,204001-1630202-201143-1630573-1627759,,1629628,1629011,1628978,1628404,1630193,1629628-1629011-1628978-1628404-1630193,,0,0,0
24,0022300065,25,3,4,0:12,12:00,732,720,12,505,514,80 - 72,82 - 73,8,9,1,204001,1630202,201143,1628369,1627759,204001-1630202-201143-1628369-1627759,,1629628,1629011,1628978,1628404,1630193,1629628-1629011-1628978-1628404-1630193,,2,1,2
