,game_id,Stint_id,start_period,end_period,start_time,end_time,start_seconds,end_seconds,duration_s,start_eventnum,end_eventnum,start_score,end_score,start_margin,end_margin,plusminus,player1_id,player2_id,player3_id,player4_id,player5_id,lineup_long,lineup_id_ingame,player6_id,player7_id,player8_id,player9_id,player10_id,OPP_lineup_long,OPP_lineup_id_ingame,pts_for,pts_against,possessions
0,0022300872,1,1,1,12:00,7:12,2880,2592,288,2,58,0 - 0,16 - 21,0,5,5,1627759,1628369,201143,1628401,201950,1627759-1628369-201143-1628401-201950,,1630541,1630228,203110,202691,201939,1630541-1630228-203110-202691-201939,,21,16,23
1,0022300872,2,1,1,7:12,6:08,2592,2528,64,58,78,16 - 21,19 - 21,5,2,-3,1627759,1628369,201143,1628401,201950,1627759-1628369-201143-1628401-201950,,1630541,1627780,203110,1631311,201939,1630541-1627780-203110-1631311-201939,,0,3,5
2,0022300872,3,1,1,6:08,4:54,2528,2454,74,78,96,19 - 21,21 - 30,2,9,7,1627759,1630573,201143,1628401,1628436,1627759-1630573-201143-1628401-1628436,,1630541,1627780,203110,1631311,201939,1630541-1627780-203110-1631311-201939,,9,2,7
3,0022300872,4,1,1,4:54,3:34,2454,2374,80,96,113,21 - 30,21 - 35,9,14,5,1627759,1630573,201143,1628401,1628436,1627759-1630573-201143-1628401-1628436,,101108,1627780,1631218,1631311,201939,101108-1627780-1631218-1631311-201939,,5,0,5
4,0022300872,5,1,1,3:34,2:36,2374,2316,58,113,131,21 - 35,22 - 35,14,13,-1,1627759,1630573,201143,201950,1628436,1627759-1630573-201143-201950-1628436,,101108,1630228,1631218,1631311,202691,101108-1630228-1631218-1631311-202691,,0,1,3
5,0022300872,6,1,2,2:36,12:00,2316,2160,156,131,174,22 - 35,22 - 44,13,22,9,1628369,1630573,1630202,201950,1628436,1628369-1630573-1630202-201950-1628436,,101108,1630228,1631218,1631311,202691,101108-1630228-1631218-1631311-202691,,9,0,11
6,0022300872,7,2,2,12:00,9:53,2160,2033,127,174,195,22 - 44,24 - 49,22,25,3,1628369,201950,1630573,1630202,1630214,1628369-201950-1630573-1630202-1630214,,1630541,1630228,202691,101108,1626172,1630541-1630228-202691-101108-1626172,,5,2,8
7,0022300872,8,2,2,9:53,8:15,2033,1935,98,195,208,24 - 49,24 - 52,25,28,3,1628369,201950,1630573,1630202,1630214,1628369-201950-1630573-1630202-1630214,,1630541,1630228,1631311,101108,1626172,1630541-1630228-1631311-101108-1626172,,3,0,5
8,0022300872,9,2,2,8:15,6:31,1935,1831,104,208,224,24 - 52,28 - 57,28,29,1,1628369,201950,1627759,1630202,1630214,1628369-201950-1627759-1630202-1630214,,1630541,1630228,1631311,201939,1626172,1630541-1630228-1631311-201939-1626172,,5,4,7
9,0022300872,10,2,2,6:31,5:26,1831,1766,65,224,244,28 - 57,28 - 60,29,32,3,1628369,201950,1627759,1628401,201143,1628369-201950-1627759-1628401-201143,,1627780,1630228,1631311,201939,203110,1627780-1630228-1631311-201939-203110,,3,0,5
10,0022300872,11,2,2,5:26,3:26,1766,1646,120,244,268,28 - 60,32 - 68,32,36,4,1628369,201950,1627759,1628401,201143,1628369-201950-1627759-1628401-201143,,1627780,202691,203967,201939,203110,1627780-202691-203967-201939-203110,,8,4,10
