,game_id,minutename,wc_start,wc_end,wc_diff
0,0022301196,1-12,941,941,0
1,0022301196,1-11,941,943,2
2,0022301196,1-10,943,944,1
3,0022301196,1-9,944,946,2
4,0022301196,1-8,946,947,1
5,0022301196,1-7,947,949,2
6,0022301196,1-6,949,953,4
7,0022301196,1-5,953,956,3
8,0022301196,1-4,956,957,1
9,0022301196,1-3,957,958,1
10,0022301196,1-2,958,962,4
11,0022301196,1-1,962,965,3
12,0022301196,1-0,965,968,3
13,0022301196,2-12,971,971,0
14,0022301196,2-11,971,971,0
15,0022301196,2-10,971,974,3
16,0022301196,2-9,974,975,1
17,0022301196,2-8,975,976,1
18,0022301196,2-7,976,980,4
19,0022301196,2-6,980,982,2
20,0022301196,2-5,982,983,1
21,0022301196,2-4,983,985,2
22,0022301196,2-3,985,988,3
23,0022301196,2-2,988,992,4
24,0022301196,2-1,992,993,1
25,0022301196,2-0,993,996,3
26,0022301196,3-12,1011,1011,0
27,0022301196,3-11,1011,1012,1
28,0022301196,3-10,1012,1013,1
29,0022301196,3-9,1013,1014,1
30,0022301196,3-8,1014,1016,2
31,0022301196,3-7,1016,1018,2
32,0022301196,3-6,1018,1022,4
33,0022301196,3-5,1022,1023,1
34,0022301196,3-4,1023,1024,1
35,0022301196,3-3,1024,1026,2
36,0022301196,3-2,1026,1030,4
37,0022301196,3-1,1030,1032,2
38,0022301196,3-0,1032,1033,1
39,0022301196,4-12,1039,1039,0
40,0022301196,4-11,1039,1040,1
41,0022301196,4-10,1040,1041,1
42,0022301196,4-9,1041,1043,2
43,0022301196,4-8,1043,1044,1
44,0022301196,4-7,1044,1046,2
45,0022301196,4-6,1046,1047,1
46,0022301196,4-5,1047,1051,4
47,0022301196,4-4,1051,1051,0
48,0022301196,4-3,1051,1053,2
49,0022301196,4-2,1053,1054,1
50,0022301196,4-1,1054,1056,2
51,0022301196,4-0,1056,1058,2
52,0022301200,1-12,941,941,0
53,0022301200,1-11,941,943,2
54,0022301200,1-10,943,944,1
55,0022301200,1-9,944,946,2
56,0022301200,1-8,946,947,1
57,0022301200,1-7,947,952,5
58,0022301200,1-6,952,954,2
59,0022301200,1-5,954,956,2
60,0022301200,1-4,956,957,1
61,0022301200,1-3,957,958,1
62,0022301200,1-2,958,962,4
63,0022301200,1-1,962,964,2
64,0022301200,1-0,964,966,2
65,0022301200,2-12,969,969,0
66,0022301200,2-11,969,970,1
67,0022301200,2-10,970,971,1
68,0022301200,2-9,971,975,4
69,0022301200,2-8,975,977,2
70,0022301200,2-7,977,981,4
71,0022301200,2-6,981,982,1
72,0022301200,2-5,982,983,1
73,0022301200,2-4,983,984,1
74,0022301200,2-3,984,986,2
75,0022301200,2-2,986,988,2
76,0022301200,2-1,988,989,1
77,0022301200,2-0,989,991,2
78,0022301200,3-12,1006,1006,0
79,0022301200,3-11,1006,1007,1
